"Index","Subject_ID","gender","age","AI_Creativity","AI_Aesthetics","AI_Liking","AI_Refinement","HU_Creativity","HU_Aesthetics","HU_Liking","HU_Refinement","Attitude","Diff_Creativity","Diff_Aesthetics","Diff_Liking","Diff_Refinement"
1,11,2,19,5.025,4.975,4.55,4.35,6.9,6.9,6.2,6.9,44,-0.425,-0.399999999999999,-0.600000000000001,-0.375
2,28,2,21,5.1,5.05,4.9,5.275,4.675,4.65,4.3,4.9,30,1.675,0.824999999999999,1.05,0.75
3,29,2,22,4.15,4.525,4.25,3.975,5.825,5.35,5.3,4.725,40,-0.675,-0.275,-0.225,-0.7
4,30,2,24,5.6,5.625,5.375,5.925,4.925,5.35,5.15,5.225,41,-0.0249999999999995,0.149999999999999,-0.0249999999999995,0.0750000000000002
5,31,2,20,6.725,6.7,6.425,6.55,6.7,6.85,6.4,6.625,33,1.55,2.225,2.625,2.6
6,32,1,19,5.075,4.6,3.75,4.275,6.625,6.825,6.375,6.875,35,0.5,0.0250000000000004,-0.0750000000000002,0.925
7,33,1,18,6,6.425,6.375,5.375,6.5,6.45,6.3,6.3,45,0.5,1.025,0.15,1.15
8,34,1,19,6.525,5.625,5.725,5.525,7.025,6.65,5.875,6.675,31,0,0.0999999999999996,-0.0499999999999998,0.325
9,35,2,20,6.725,6.025,5.45,5.85,6.725,6.125,5.4,6.175,32,1.05,1.15,1.175,1.275
10,36,1,20,4,4.075,3.925,4.05,5.05,5.225,5.1,5.325,30,1.2,1.1,1.75,1.15
11,37,2,21,5.475,5.775,4.95,5.15,6.675,6.875,6.7,6.3,39,-0.65,-0.975,-0.725,-0.425
12,38,1,20,6.575,6.3,5.8,5.6,5.925,5.325,5.075,5.175,37,0.375,0.3,0.350000000000001,1.225
13,39,1,22,4.425,4.675,4.3,5.125,4.8,4.975,4.65,6.35,41,0.5,0.6,0.925,0.975
14,40,2,24,6.55,5.825,5.45,5.5,7.05,6.425,6.375,6.475,45,0.9,0.824999999999999,0.8,0.899999999999999
15,41,2,19,5.5,5.65,5.625,5.4,6.4,6.475,6.425,6.3,33,1.75,1.95,1.85,2.625
16,42,2,20,6.25,6.1,5.575,5.275,8,8.05,7.425,7.9,45,0.0750000000000002,0.274999999999999,-0.0499999999999998,0.175
17,43,1,21,5.125,4.65,4.7,4.7,5.2,4.925,4.65,4.875,55,0.274999999999999,1,1.05,0.85
18,58,2,22,6.775,5.725,5.075,5.325,7.05,6.725,6.125,6.175,29,3.325,4.075,3.375,3.325
19,59,1,24,3.75,2.875,3,3.4,7.075,6.95,6.375,6.725,25,0.35,-0.0750000000000002,0,-0.274999999999999
20,60,2,19,6.275,6.775,6.6,6.6,6.625,6.7,6.6,6.325,32,1.575,1.4,1.45,1.1
21,61,2,18,5.2,4.7,3.85,4.15,6.775,6.1,5.3,5.25,38,0.25,0.5,0.425,0.675
22,49,2,20,4.675,4.575,4.125,3.975,4.925,5.075,4.55,4.65,43,0.725000000000001,0.875,0.425,0.55
23,50,1,21,6.225,5.975,5.55,5.65,6.95,6.85,5.975,6.2,32,0.3,0.625,-0.275,0.525
24,51,2,24,5.575,4.65,4.15,4.35,5.875,5.275,3.875,4.875,42,1.025,1.575,1.425,1.75
25,52,2,22,6.075,5.575,5.75,5.575,7.1,7.15,7.175,7.325,47,-0.399999999999999,-0.525,-0.225,-0.125
26,53,2,20,4.675,5.325,4.1,4.025,4.275,4.8,3.875,3.9,25,1.25,1.575,1.95,1.275
27,54,2,20,5.15,5.225,4.25,5.1,6.4,6.8,6.2,6.375,33,0.425,1.025,1.125,1.725
28,108,1,19,7.95,6.7,6.05,6.425,8.375,7.725,7.175,8.15,33,0.550000000000001,0.725,0.875,0.7
29,109,1,20,7.75,7.525,6.875,7.325,8.3,8.25,7.75,8.025,51,0.775,1.125,0.5,-0.675
30,110,1,18,6.25,5.975,6.55,6.325,7.025,7.1,7.05,5.65,53,0.625,0.825,1,0.425
31,111,2,23,5.75,6.05,5.25,6.125,6.375,6.875,6.25,6.55,40,0.275,0.625,-0.125,-0.0749999999999997
32,112,1,22,4.175,4.075,4.025,3.8,4.45,4.7,3.9,3.725,42,-0.0750000000000002,0.0500000000000007,0.0499999999999998,-0.4
33,126,2,24,5.075,4.475,3.875,3.975,5,4.525,3.925,3.575,32,0.65,2.725,2.575,-0.875
34,127,2,20,6.675,4.675,2.95,4.425,7.325,7.4,5.525,3.55,39,0.0500000000000007,0.274999999999999,0.25,0.0249999999999995
35,128,2,18,5.35,5.275,5.05,5.325,5.4,5.55,5.3,5.35,34,1.375,1.4,1.4,1.275
36,129,2,20,6.025,6.4,6.4,6.5,7.4,7.8,7.8,7.775,40,0.5,0.774999999999999,0.975000000000001,0.625
37,130,1,19,7,6.65,5.8,5.675,7.5,7.425,6.775,6.3,50,1.15,0.725,0.75,0.9
38,131,2,23,5.675,6.125,5.875,5.925,6.825,6.85,6.625,6.825,45,0.25,0.7,0.825,1.125
39,132,2,22,5.95,5.55,5.225,5.3,6.2,6.25,6.05,6.425,41,0.449999999999999,0.7,0.525,0.275
40,133,2,24,5.4,5.05,4.875,5.125,5.85,5.75,5.4,5.4,36,1.1,2.275,1.75,1.9
41,134,2,21,6.525,5.4,5,5.325,7.625,7.675,6.75,7.225,42,0.35,0.375,0.45,0.5
42,135,2,20,6.325,6.475,5.8,5.975,6.675,6.85,6.25,6.475,45,-0.2,0.575,0.4,0.15
43,136,2,18,7,6.675,6.375,6.05,6.8,7.25,6.775,6.2,48,-1.675,0.275,0.0499999999999998,0.399999999999999
44,137,2,19,4.55,4.675,2.475,4.325,2.875,4.95,2.525,4.725,30,1.15,1.4,1.275,1.575
45,138,2,24,5.775,4.9,4.1,4.375,6.925,6.3,5.375,5.95,41,-0.5,-0.5,-0.525,-0.5
46,159,1,22,7.3,7.375,7.4,7.425,6.8,6.875,6.875,6.925,55,1.625,1.575,1.45,1.775
47,160,1,23,4.6,4.2,3.875,3.375,6.225,5.775,5.325,5.15,34,0.375,0.575,0.199999999999999,0.825
48,161,2,24,7.45,7.175,6.775,7.05,7.825,7.75,6.975,7.875,53,0.775,0.9,1,0.5
49,162,1,26,5.5,5.75,5.675,5,6.275,6.65,6.675,5.5,42,1.425,1.35,1.375,1.55
50,163,2,18,5.825,5.875,5.75,5.7,7.25,7.225,7.125,7.25,37,0.8,0.95,0.625,0.875
51,164,2,19,6.05,6.075,5.975,6.075,6.85,7.025,6.6,6.95,39,1.975,1.375,1.95,2.3
52,165,2,21,4.425,4.275,2.75,3.475,6.4,5.65,4.7,5.775,41,0.875,0.775,0.649999999999999,0.85
53,166,2,24,5.975,5.925,5.325,5.625,6.85,6.7,5.975,6.475,45,0.675000000000001,0.774999999999999,0.649999999999999,1.625
