"participant_id","condition","human_beauty","ai_beauty","human_depth","ai_depth","human_creativity","ai_creativity","human_liking","ai_liking","human_awe","ai_awe","human_absorption","ai_absorption","human_pleasure","ai_pleasure","human_energy","ai_energy","human_interest","ai_interest","human_insight","ai_insight","human_boredom","ai_boredom","human_anxiety","ai_anxiety","human_sadness","ai_sadness","human_valence","ai_valence","human_arousal","ai_arousal","human_emotional_attention","ai_emotional_attention"
1,1,5.05554444444444,5.27380952380952,3.55555555555556,4.25,3.44444444444444,3.83333333333333,5.05555555555556,5.73809523809524,4.55555555555556,4.33333333333333,4.55555555555555,5.04761904761905,4.38888888888889,4.76190476190476,4.94444444444444,5.30952380952381,4.77777777777778,5.21428571428571,5.11111111111111,4.9047619047619,2.55555555555555,2.19047619047619,1.72222222222222,2.08333333333333,2.44444444444444,2.75,4.22222222222222,3.6547619047619,4.11111111111111,5.01190476190476,4.22222222222222,4.21428571428571
2,1,5.38412698412699,5.56190476190476,5.00952380952381,4.6984126984127,5.23174603174603,4.7015873015873,6.16190476190476,5.73015873015873,3.87619047619048,3.55873015873016,5.13015873015873,4.55555555555556,5.93650793650794,5.20952380952381,5.69206349206349,6.01269841269841,5.68571428571429,5.6031746031746,4.67936507936508,4.73333333333333,2.12380952380952,2.37142857142857,2.83492063492063,2.46031746031746,2.40952380952381,2.42222222222222,4.95555555555556,4.49206349206349,4.19365079365079,3.81904761904762,4.45396825396825,4.2984126984127
3,1,3.16666666666667,2.92857142857143,1.88888888888889,1.73809523809524,1.88888888888889,2.44047619047619,2.38888888888889,2.95238095238095,1.77777777777778,1.51190476190476,2.72222222222222,2.5,2.27777777777778,2.22619047619048,2.66666666666667,3.88095238095238,1.66666666666667,1.55952380952381,2.22222222222222,2.20238095238095,2.11111111111111,2.83333333333333,1.77777777777778,2.26190476190476,2.5,1.63095238095238,3.16666666666667,3.13095238095238,2.55555555555555,2.91666666666667,2.27777777777778,2.61904761904762
4,1,4.5,3.66666666666667,3.66666666666667,2.44444444444444,4.51190476190476,4.16666666666667,4.6547619047619,3.88888888888889,2.07142857142857,2.72222222222222,3.64285714285714,3.05555555555556,3.8452380952381,3.27777777777778,3.61904761904762,3.77777777777778,4.1547619047619,3.5,3.86904761904762,3.22222222222222,1.08333333333333,1.61111111111111,2.17857142857143,1.88888888888889,2.83333333333333,2.61111111111111,4.23809523809524,4.22222222222222,4.28571428571429,3.38888888888889,5.16666666666667,3.72222222222222
5,1,3.3968253968254,2.92698412698413,2.05714285714286,2.21587301587301,2.63174603174603,2.37142857142857,3.06031746031746,2.08571428571429,2.23174603174603,2.34603174603175,2.2,1.79365079365079,2.1047619047619,1.6984126984127,3.47619047619048,2.96507936507937,2.37460317460318,1.76507936507937,3.80634920634921,2.65396825396825,1,1,1,1,1.2,1,3.0952380952381,2.62539682539682,2.25396825396825,2.06984126984127,3.32063492063492,1.94285714285714
6,1,4.6547619047619,3.88888888888889,3.75,3.16666666666667,3.64285714285714,2.83333333333333,4.9047619047619,3.22222222222222,5.02380952380952,4.11111111111111,3.96428571428571,2.72222222222222,4.32142857142857,2.5,4.61904761904762,3.38888888888889,3.88095238095238,2.66666666666667,3.21428571428571,3.83333333333333,1.78571428571429,3.16666666666667,2.5952380952381,3.72222222222222,2.4047619047619,2.94444444444445,4.27380952380952,3.11111111111111,4.16666666666667,3.61111111111111,4.20238095238095,3.16666666666666
7,1,5.15555555555556,4.92380952380952,3.30793650793651,2.6,2.94285714285714,2.51111111111111,5.52063492063492,5.46031746031746,3.78730158730159,2.83174603174603,4.4984126984127,4.27936507936508,4.52698412698413,3.8984126984127,5.1015873015873,4.06349206349206,5.8031746031746,5.08253968253968,2.64444444444444,1.86666666666667,1,1,1.51428571428571,1.11428571428571,1.62857142857143,1.33333333333333,4.3015873015873,3.9015873015873,1.83809523809524,1.90793650793651,4.84444444444444,4.35873015873016
8,1,6.86111111111111,6.61111111111111,2.55,2.49444444444444,2.31666666666667,2.61666666666667,6.98888888888889,6.66666666666667,5.16111111111111,5.23888888888889,6.17777777777778,6.18333333333333,5.78333333333333,5.93333333333333,5.74444444444444,5.47777777777778,5.36666666666667,5.61666666666667,3.19444444444444,3.27777777777778,1,1,1.58333333333333,1.41666666666667,1.69444444444444,1.41666666666667,4.25555555555556,4.35555555555556,4.52777777777778,4.67777777777778,6.83333333333333,6.91666666666667
9,1,4.93333333333333,4.26666666666667,2.2,1.6,3.2,1.93333333333333,5.26666666666667,4.06666666666667,1.93333333333333,1.46666666666667,2.6,1.4,2.93333333333333,2.06666666666667,4.73333333333333,4.2,4.2,2.6,3.2,2.13333333333333,1,1,1,1,1.06666666666667,1,4.26666666666667,4.2,3,2.66666666666667,3.13333333333333,2.2
10,1,5,5.21428571428571,2.77777777777778,2.23809523809524,3.38888888888889,2.83333333333333,5.11111111111111,5.29761904761905,2.88888888888889,1.83333333333333,3.05555555555555,3.22619047619048,3.22222222222222,3.58333333333333,4.55555555555555,4.35714285714286,4.16666666666667,3.25,2.83333333333333,1.6547619047619,1,1.04761904761905,1.61111111111111,1.47619047619048,1.38888888888889,1.71428571428571,3.94444444444445,4.21428571428571,3.72222222222222,3.4047619047619,4.38888888888889,2.41666666666667
11,1,5.8,4.51428571428571,3.94920634920635,3.57142857142857,3.04126984126984,3.11746031746032,6.08253968253968,4.66349206349206,3.37777777777778,3.5047619047619,5.41904761904762,2.98412698412699,4.4984126984127,2.75555555555556,6.20952380952381,4.17777777777778,5.77777777777778,3.64444444444444,4.3968253968254,4.23174603174603,1.13333333333333,1.96825396825397,1,2.07301587301587,1.66666666666667,2.38730158730159,4.98095238095238,4.01269841269841,4.27619047619048,3.48253968253968,4.86666666666667,3.45396825396825
12,1,5.33333333333333,3.6,4.93333333333333,2.66666666666667,5.46666666666667,2.46666666666667,6.13333333333333,4.33333333333333,6,2.8,6,2.73333333333333,6,2.8,6.2,3.13333333333333,5.8,2.8,6.06666666666667,2.46666666666667,1,2,1.4,1.8,1.6,1.93333333333333,5.13333333333333,3.2,4.13333333333333,2.06666666666667,5.06666666666667,1.6
13,1,5.31944444444444,3.35714285714286,4.04166666666667,2.65873015873016,4.01388888888889,2.4047619047619,5.22222222222222,3.25396825396825,4.45833333333333,1.62698412698413,3.76388888888889,1.88095238095238,3.47222222222222,2.15079365079365,5.94444444444444,4.03968253968254,5.81944444444444,3.12698412698413,6.55555555555556,4.46825396825397,2.56944444444444,4.91269841269841,1.625,2.88095238095238,2.69444444444444,1.46031746031746,4.5,3.14285714285714,3.81944444444444,3.49206349206349,2.59722222222222,2
14,1,6.36507936507936,5.8,4.9015873015873,4.11428571428571,4.97777777777778,4.17142857142857,7.02222222222222,6,1.85079365079365,2.56507936507937,6.26984126984127,4.78095238095238,6.63492063492064,5,4.65396825396825,3.40634920634921,5.88253968253968,4.63174603174603,1.44444444444444,1.35238095238095,1,1.20634920634921,1,1,1,1,5.94920634920635,4.8031746031746,4.59047619047619,3.99047619047619,5.56825396825397,5.25079365079365
15,1,5.10555555555556,4.09444444444444,3.5,2.63333333333333,4.38888888888889,3.46111111111111,5.56666666666667,3.99444444444444,2.92222222222222,1.46666666666667,4.31666666666667,2.15555555555556,4.31111111111111,2.48888888888889,4.76111111111111,3.53888888888889,4.96666666666667,3.77222222222222,2.66666666666667,1.9,1,1.85,1.55555555555556,2.21111111111111,1.52777777777778,1.27777777777778,4.52222222222222,3.91111111111111,3.37222222222222,2.61666666666667,4.89444444444444,4.26666666666667
16,1,4.04444444444444,3.62222222222222,2.44444444444444,1.82222222222222,3.4,1.77777777777778,4.48333333333333,3.33888888888889,1.4,2.15,2.78333333333333,2.16111111111111,3.24444444444444,2.17777777777778,4.33333333333333,3.33333333333333,3.87777777777778,2.89444444444444,3.30555555555556,3.25,1,1.34444444444444,1.33333333333333,1.33333333333333,1.86666666666667,2,4.31111111111111,3.6,2.86111111111111,2.36666666666667,4.17222222222222,3.41111111111111
17,1,4.06666666666667,3.2,3.06666666666667,2.13333333333333,3.06666666666667,2.33333333333333,4.53333333333333,3.4,1.8,2,2.4,1.6,2.66666666666667,1.86666666666667,2.86666666666667,2.53333333333333,2.93333333333333,2.33333333333333,2,1.8,1,1.46666666666667,1.33333333333333,1.13333333333333,1.26666666666667,1.33333333333333,4.06666666666667,3.13333333333333,2.73333333333333,2.33333333333333,1.93333333333333,1.86666666666667
18,1,3.44444444444445,4.23809523809524,4.11111111111111,3.39285714285714,2.44444444444444,2.47619047619048,2.72222222222222,3.64285714285714,2.16666666666667,2.30952380952381,2.05555555555555,2.91666666666667,1.77777777777778,2.01190476190476,2.38888888888889,2.57142857142857,2.22222222222222,2.78571428571429,1.16666666666667,1.51190476190476,1.83333333333333,1.14285714285714,1.55555555555555,1.41666666666667,1.61111111111111,1.72619047619048,3.61111111111111,4.11904761904762,3.66666666666667,3.6547619047619,3.33333333333333,2.57142857142857
19,1,5.96428571428571,4.33333333333333,3.55952380952381,2.11111111111111,4.9047619047619,3.11111111111111,6.64285714285714,4.66666666666667,2.42857142857143,1.38888888888889,6.02380952380952,3.44444444444445,6.14285714285714,4.05555555555556,6.1547619047619,4.44444444444445,6.27380952380952,4.05555555555556,2.69047619047619,1.44444444444444,1,1.33333333333333,1.75,1.55555555555556,1.8452380952381,1.77777777777778,5.21428571428571,4.05555555555556,4.85714285714286,3.38888888888889,4.76190476190476,3.27777777777778
20,1,3.55873015873016,2.78412698412699,2.97460317460318,1.9968253968254,3.86349206349206,2.52380952380952,4.15555555555556,3.85714285714286,2.87936507936508,2.02857142857143,3.15873015873016,2.31111111111111,2.36825396825397,3.29206349206349,4.08253968253968,3.88253968253968,3.7968253968254,3.94920634920635,2.22857142857143,1.8984126984127,1.38095238095238,1.51111111111111,1.84761904761905,1.49206349206349,1.61904761904762,1.28888888888889,4.04444444444444,4.04444444444444,3.58412698412699,3.04126984126984,4.42539682539682,2.10793650793651
21,1,4.96428571428571,4.88888888888889,5.05952380952381,5.33333333333333,4.4047619047619,4.33333333333333,5.19047619047619,5.22222222222222,2.75,2.72222222222222,4.39285714285714,4.05555555555556,4.45238095238095,4.61111111111111,5.41666666666667,5.38888888888889,4.8452380952381,5.22222222222222,4.70238095238095,4.77777777777778,1.57142857142857,1.22222222222222,1.73809523809524,2.11111111111111,1.38095238095238,1.27777777777778,4.11904761904762,3.88888888888889,4.53571428571429,4.16666666666667,4.45238095238095,3.83333333333333
22,1,5.04166666666667,5.25396825396825,5,5.0952380952381,5.27777777777778,5.31746031746032,5.75,6.00793650793651,3.41666666666667,3.61904761904762,5.66666666666667,5.88888888888889,4.75,5.6984126984127,5.58333333333333,6.11904761904762,5.70833333333333,5.95238095238095,4.83333333333333,5.38095238095238,1.08333333333333,1,1.25,1.30952380952381,2.5,2.07142857142857,4.54166666666667,4.88888888888889,4.375,4.20634920634921,4.83333333333333,5.15873015873016
23,1,6.27777777777778,5.41111111111111,4.85,4.44444444444444,5.10555555555556,4.17777777777778,6.87777777777778,6.08333333333333,5.82777777777778,4.55555555555556,6.23888888888889,5.26111111111111,6.15555555555556,5.20555555555556,6.38333333333333,5.74444444444444,6.48333333333333,5.19444444444444,5.75,4.99444444444444,1,1,1,1.06666666666667,1.06666666666667,1.06666666666667,4.75,4.27777777777778,3.88333333333333,2.86111111111111,4.03333333333333,3.48888888888889
